image,label
D:\dataset_chain\water\input0/train/1355.tif,D:\dataset_chain\water\input0/train_label/1355.tif
D:\dataset_chain\water\input0/train/1356.tif,D:\dataset_chain\water\input0/train_label/1356.tif
D:\dataset_chain\water\input0/train/1357.tif,D:\dataset_chain\water\input0/train_label/1357.tif
D:\dataset_chain\water\input0/train/1358.tif,D:\dataset_chain\water\input0/train_label/1358.tif
D:\dataset_chain\water\input0/train/1359.tif,D:\dataset_chain\water\input0/train_label/1359.tif
D:\dataset_chain\water\input0/train/1360.tif,D:\dataset_chain\water\input0/train_label/1360.tif
D:\dataset_chain\water\input0/train/1361.tif,D:\dataset_chain\water\input0/train_label/1361.tif
D:\dataset_chain\water\input0/train/1362.tif,D:\dataset_chain\water\input0/train_label/1362.tif
D:\dataset_chain\water\input0/train/1363.tif,D:\dataset_chain\water\input0/train_label/1363.tif
D:\dataset_chain\water\input0/train/1364.tif,D:\dataset_chain\water\input0/train_label/1364.tif
D:\dataset_chain\water\input0/train/1365.tif,D:\dataset_chain\water\input0/train_label/1365.tif
D:\dataset_chain\water\input0/train/1366.tif,D:\dataset_chain\water\input0/train_label/1366.tif
D:\dataset_chain\water\input0/train/1367.tif,D:\dataset_chain\water\input0/train_label/1367.tif
D:\dataset_chain\water\input0/train/1368.tif,D:\dataset_chain\water\input0/train_label/1368.tif
D:\dataset_chain\water\input0/train/1369.tif,D:\dataset_chain\water\input0/train_label/1369.tif
D:\dataset_chain\water\input0/train/1370.tif,D:\dataset_chain\water\input0/train_label/1370.tif
D:\dataset_chain\water\input0/train/1371.tif,D:\dataset_chain\water\input0/train_label/1371.tif
D:\dataset_chain\water\input0/train/1372.tif,D:\dataset_chain\water\input0/train_label/1372.tif
D:\dataset_chain\water\input0/train/1373.tif,D:\dataset_chain\water\input0/train_label/1373.tif
D:\dataset_chain\water\input0/train/1374.tif,D:\dataset_chain\water\input0/train_label/1374.tif
D:\dataset_chain\water\input0/train/1375.tif,D:\dataset_chain\water\input0/train_label/1375.tif
D:\dataset_chain\water\input0/train/1376.tif,D:\dataset_chain\water\input0/train_label/1376.tif
D:\dataset_chain\water\input0/train/1377.tif,D:\dataset_chain\water\input0/train_label/1377.tif
D:\dataset_chain\water\input0/train/1378.tif,D:\dataset_chain\water\input0/train_label/1378.tif
D:\dataset_chain\water\input0/train/1379.tif,D:\dataset_chain\water\input0/train_label/1379.tif
D:\dataset_chain\water\input0/train/1380.tif,D:\dataset_chain\water\input0/train_label/1380.tif
D:\dataset_chain\water\input0/train/1381.tif,D:\dataset_chain\water\input0/train_label/1381.tif
D:\dataset_chain\water\input0/train/1382.tif,D:\dataset_chain\water\input0/train_label/1382.tif
D:\dataset_chain\water\input0/train/1383.tif,D:\dataset_chain\water\input0/train_label/1383.tif
D:\dataset_chain\water\input0/train/1384.tif,D:\dataset_chain\water\input0/train_label/1384.tif
D:\dataset_chain\water\input0/train/1385.tif,D:\dataset_chain\water\input0/train_label/1385.tif
D:\dataset_chain\water\input0/train/1386.tif,D:\dataset_chain\water\input0/train_label/1386.tif
D:\dataset_chain\water\input0/train/1387.tif,D:\dataset_chain\water\input0/train_label/1387.tif
D:\dataset_chain\water\input0/train/1388.tif,D:\dataset_chain\water\input0/train_label/1388.tif
D:\dataset_chain\water\input0/train/1389.tif,D:\dataset_chain\water\input0/train_label/1389.tif
D:\dataset_chain\water\input0/train/1390.tif,D:\dataset_chain\water\input0/train_label/1390.tif
D:\dataset_chain\water\input0/train/1391.tif,D:\dataset_chain\water\input0/train_label/1391.tif
D:\dataset_chain\water\input0/train/1392.tif,D:\dataset_chain\water\input0/train_label/1392.tif
D:\dataset_chain\water\input0/train/1393.tif,D:\dataset_chain\water\input0/train_label/1393.tif
D:\dataset_chain\water\input0/train/1394.tif,D:\dataset_chain\water\input0/train_label/1394.tif
D:\dataset_chain\water\input0/train/1395.tif,D:\dataset_chain\water\input0/train_label/1395.tif
D:\dataset_chain\water\input0/train/1396.tif,D:\dataset_chain\water\input0/train_label/1396.tif
D:\dataset_chain\water\input0/train/1397.tif,D:\dataset_chain\water\input0/train_label/1397.tif
D:\dataset_chain\water\input0/train/1398.tif,D:\dataset_chain\water\input0/train_label/1398.tif
D:\dataset_chain\water\input0/train/1399.tif,D:\dataset_chain\water\input0/train_label/1399.tif
D:\dataset_chain\water\input0/train/1400.tif,D:\dataset_chain\water\input0/train_label/1400.tif
D:\dataset_chain\water\input0/train/1401.tif,D:\dataset_chain\water\input0/train_label/1401.tif
D:\dataset_chain\water\input0/train/1402.tif,D:\dataset_chain\water\input0/train_label/1402.tif
D:\dataset_chain\water\input0/train/1403.tif,D:\dataset_chain\water\input0/train_label/1403.tif
D:\dataset_chain\water\input0/train/1404.tif,D:\dataset_chain\water\input0/train_label/1404.tif
D:\dataset_chain\water\input0/train/1405.tif,D:\dataset_chain\water\input0/train_label/1405.tif
D:\dataset_chain\water\input0/train/1406.tif,D:\dataset_chain\water\input0/train_label/1406.tif
D:\dataset_chain\water\input0/train/1407.tif,D:\dataset_chain\water\input0/train_label/1407.tif
D:\dataset_chain\water\input0/train/1408.tif,D:\dataset_chain\water\input0/train_label/1408.tif
D:\dataset_chain\water\input0/train/1409.tif,D:\dataset_chain\water\input0/train_label/1409.tif
D:\dataset_chain\water\input0/train/1410.tif,D:\dataset_chain\water\input0/train_label/1410.tif
D:\dataset_chain\water\input0/train/1411.tif,D:\dataset_chain\water\input0/train_label/1411.tif
D:\dataset_chain\water\input0/train/1412.tif,D:\dataset_chain\water\input0/train_label/1412.tif
D:\dataset_chain\water\input0/train/1413.tif,D:\dataset_chain\water\input0/train_label/1413.tif
D:\dataset_chain\water\input0/train/1414.tif,D:\dataset_chain\water\input0/train_label/1414.tif
D:\dataset_chain\water\input0/train/1415.tif,D:\dataset_chain\water\input0/train_label/1415.tif
D:\dataset_chain\water\input0/train/1416.tif,D:\dataset_chain\water\input0/train_label/1416.tif
D:\dataset_chain\water\input0/train/1417.tif,D:\dataset_chain\water\input0/train_label/1417.tif
D:\dataset_chain\water\input0/train/1418.tif,D:\dataset_chain\water\input0/train_label/1418.tif
D:\dataset_chain\water\input0/train/1419.tif,D:\dataset_chain\water\input0/train_label/1419.tif
D:\dataset_chain\water\input0/train/1420.tif,D:\dataset_chain\water\input0/train_label/1420.tif
D:\dataset_chain\water\input0/train/1421.tif,D:\dataset_chain\water\input0/train_label/1421.tif
D:\dataset_chain\water\input0/train/1422.tif,D:\dataset_chain\water\input0/train_label/1422.tif
D:\dataset_chain\water\input0/train/1423.tif,D:\dataset_chain\water\input0/train_label/1423.tif
D:\dataset_chain\water\input0/train/1424.tif,D:\dataset_chain\water\input0/train_label/1424.tif
D:\dataset_chain\water\input0/train/1425.tif,D:\dataset_chain\water\input0/train_label/1425.tif
D:\dataset_chain\water\input0/train/1426.tif,D:\dataset_chain\water\input0/train_label/1426.tif
D:\dataset_chain\water\input0/train/1427.tif,D:\dataset_chain\water\input0/train_label/1427.tif
D:\dataset_chain\water\input0/train/1428.tif,D:\dataset_chain\water\input0/train_label/1428.tif
D:\dataset_chain\water\input0/train/1429.tif,D:\dataset_chain\water\input0/train_label/1429.tif
D:\dataset_chain\water\input0/train/1430.tif,D:\dataset_chain\water\input0/train_label/1430.tif
D:\dataset_chain\water\input0/train/1431.tif,D:\dataset_chain\water\input0/train_label/1431.tif
D:\dataset_chain\water\input0/train/1432.tif,D:\dataset_chain\water\input0/train_label/1432.tif
D:\dataset_chain\water\input0/train/1433.tif,D:\dataset_chain\water\input0/train_label/1433.tif
D:\dataset_chain\water\input0/train/1434.tif,D:\dataset_chain\water\input0/train_label/1434.tif
D:\dataset_chain\water\input0/train/1435.tif,D:\dataset_chain\water\input0/train_label/1435.tif
D:\dataset_chain\water\input0/train/1436.tif,D:\dataset_chain\water\input0/train_label/1436.tif
D:\dataset_chain\water\input0/train/1437.tif,D:\dataset_chain\water\input0/train_label/1437.tif
D:\dataset_chain\water\input0/train/1438.tif,D:\dataset_chain\water\input0/train_label/1438.tif
D:\dataset_chain\water\input0/train/1439.tif,D:\dataset_chain\water\input0/train_label/1439.tif
D:\dataset_chain\water\input0/train/1440.tif,D:\dataset_chain\water\input0/train_label/1440.tif
D:\dataset_chain\water\input0/train/1441.tif,D:\dataset_chain\water\input0/train_label/1441.tif
D:\dataset_chain\water\input0/train/1442.tif,D:\dataset_chain\water\input0/train_label/1442.tif
D:\dataset_chain\water\input0/train/1443.tif,D:\dataset_chain\water\input0/train_label/1443.tif
D:\dataset_chain\water\input0/train/1444.tif,D:\dataset_chain\water\input0/train_label/1444.tif
D:\dataset_chain\water\input0/train/1445.tif,D:\dataset_chain\water\input0/train_label/1445.tif
D:\dataset_chain\water\input0/train/1446.tif,D:\dataset_chain\water\input0/train_label/1446.tif
D:\dataset_chain\water\input0/train/1447.tif,D:\dataset_chain\water\input0/train_label/1447.tif
D:\dataset_chain\water\input0/train/1448.tif,D:\dataset_chain\water\input0/train_label/1448.tif
D:\dataset_chain\water\input0/train/1449.tif,D:\dataset_chain\water\input0/train_label/1449.tif
D:\dataset_chain\water\input0/train/1450.tif,D:\dataset_chain\water\input0/train_label/1450.tif
D:\dataset_chain\water\input0/train/1451.tif,D:\dataset_chain\water\input0/train_label/1451.tif
D:\dataset_chain\water\input0/train/1452.tif,D:\dataset_chain\water\input0/train_label/1452.tif
D:\dataset_chain\water\input0/train/1453.tif,D:\dataset_chain\water\input0/train_label/1453.tif
D:\dataset_chain\water\input0/train/1454.tif,D:\dataset_chain\water\input0/train_label/1454.tif
D:\dataset_chain\water\input0/train/1455.tif,D:\dataset_chain\water\input0/train_label/1455.tif
D:\dataset_chain\water\input0/train/1456.tif,D:\dataset_chain\water\input0/train_label/1456.tif
D:\dataset_chain\water\input0/train/1457.tif,D:\dataset_chain\water\input0/train_label/1457.tif
D:\dataset_chain\water\input0/train/1458.tif,D:\dataset_chain\water\input0/train_label/1458.tif
D:\dataset_chain\water\input0/train/1459.tif,D:\dataset_chain\water\input0/train_label/1459.tif
D:\dataset_chain\water\input0/train/1460.tif,D:\dataset_chain\water\input0/train_label/1460.tif
D:\dataset_chain\water\input0/train/1461.tif,D:\dataset_chain\water\input0/train_label/1461.tif
D:\dataset_chain\water\input0/train/1462.tif,D:\dataset_chain\water\input0/train_label/1462.tif
D:\dataset_chain\water\input0/train/1463.tif,D:\dataset_chain\water\input0/train_label/1463.tif
D:\dataset_chain\water\input0/train/1464.tif,D:\dataset_chain\water\input0/train_label/1464.tif
D:\dataset_chain\water\input0/train/1465.tif,D:\dataset_chain\water\input0/train_label/1465.tif
D:\dataset_chain\water\input0/train/1466.tif,D:\dataset_chain\water\input0/train_label/1466.tif
D:\dataset_chain\water\input0/train/1467.tif,D:\dataset_chain\water\input0/train_label/1467.tif
D:\dataset_chain\water\input0/train/1468.tif,D:\dataset_chain\water\input0/train_label/1468.tif
D:\dataset_chain\water\input0/train/1469.tif,D:\dataset_chain\water\input0/train_label/1469.tif
D:\dataset_chain\water\input0/train/1470.tif,D:\dataset_chain\water\input0/train_label/1470.tif
D:\dataset_chain\water\input0/train/1471.tif,D:\dataset_chain\water\input0/train_label/1471.tif
D:\dataset_chain\water\input0/train/1472.tif,D:\dataset_chain\water\input0/train_label/1472.tif
D:\dataset_chain\water\input0/train/1473.tif,D:\dataset_chain\water\input0/train_label/1473.tif
D:\dataset_chain\water\input0/train/1474.tif,D:\dataset_chain\water\input0/train_label/1474.tif
D:\dataset_chain\water\input0/train/1475.tif,D:\dataset_chain\water\input0/train_label/1475.tif
D:\dataset_chain\water\input0/train/1476.tif,D:\dataset_chain\water\input0/train_label/1476.tif
D:\dataset_chain\water\input0/train/1477.tif,D:\dataset_chain\water\input0/train_label/1477.tif
D:\dataset_chain\water\input0/train/1478.tif,D:\dataset_chain\water\input0/train_label/1478.tif
D:\dataset_chain\water\input0/train/1479.tif,D:\dataset_chain\water\input0/train_label/1479.tif
D:\dataset_chain\water\input0/train/1480.tif,D:\dataset_chain\water\input0/train_label/1480.tif
D:\dataset_chain\water\input0/train/1481.tif,D:\dataset_chain\water\input0/train_label/1481.tif
D:\dataset_chain\water\input0/train/1482.tif,D:\dataset_chain\water\input0/train_label/1482.tif
D:\dataset_chain\water\input0/train/1483.tif,D:\dataset_chain\water\input0/train_label/1483.tif
D:\dataset_chain\water\input0/train/1484.tif,D:\dataset_chain\water\input0/train_label/1484.tif
D:\dataset_chain\water\input0/train/1485.tif,D:\dataset_chain\water\input0/train_label/1485.tif
D:\dataset_chain\water\input0/train/1486.tif,D:\dataset_chain\water\input0/train_label/1486.tif
D:\dataset_chain\water\input0/train/1487.tif,D:\dataset_chain\water\input0/train_label/1487.tif
D:\dataset_chain\water\input0/train/1488.tif,D:\dataset_chain\water\input0/train_label/1488.tif
D:\dataset_chain\water\input0/train/1489.tif,D:\dataset_chain\water\input0/train_label/1489.tif
D:\dataset_chain\water\input0/train/1490.tif,D:\dataset_chain\water\input0/train_label/1490.tif
D:\dataset_chain\water\input0/train/1491.tif,D:\dataset_chain\water\input0/train_label/1491.tif
D:\dataset_chain\water\input0/train/1492.tif,D:\dataset_chain\water\input0/train_label/1492.tif
D:\dataset_chain\water\input0/train/1493.tif,D:\dataset_chain\water\input0/train_label/1493.tif
D:\dataset_chain\water\input0/train/1494.tif,D:\dataset_chain\water\input0/train_label/1494.tif
D:\dataset_chain\water\input0/train/1495.tif,D:\dataset_chain\water\input0/train_label/1495.tif
D:\dataset_chain\water\input0/train/1496.tif,D:\dataset_chain\water\input0/train_label/1496.tif
D:\dataset_chain\water\input0/train/1497.tif,D:\dataset_chain\water\input0/train_label/1497.tif
D:\dataset_chain\water\input0/train/1498.tif,D:\dataset_chain\water\input0/train_label/1498.tif
D:\dataset_chain\water\input0/train/1499.tif,D:\dataset_chain\water\input0/train_label/1499.tif
D:\dataset_chain\water\input0/train/1500.tif,D:\dataset_chain\water\input0/train_label/1500.tif
D:\dataset_chain\water\input0/train/1501.tif,D:\dataset_chain\water\input0/train_label/1501.tif
D:\dataset_chain\water\input0/train/1502.tif,D:\dataset_chain\water\input0/train_label/1502.tif
D:\dataset_chain\water\input0/train/1503.tif,D:\dataset_chain\water\input0/train_label/1503.tif
D:\dataset_chain\water\input0/train/1504.tif,D:\dataset_chain\water\input0/train_label/1504.tif
D:\dataset_chain\water\input0/train/1505.tif,D:\dataset_chain\water\input0/train_label/1505.tif
D:\dataset_chain\water\input0/train/1506.tif,D:\dataset_chain\water\input0/train_label/1506.tif
D:\dataset_chain\water\input0/train/1507.tif,D:\dataset_chain\water\input0/train_label/1507.tif
D:\dataset_chain\water\input0/train/1508.tif,D:\dataset_chain\water\input0/train_label/1508.tif
D:\dataset_chain\water\input0/train/1509.tif,D:\dataset_chain\water\input0/train_label/1509.tif
D:\dataset_chain\water\input0/train/1510.tif,D:\dataset_chain\water\input0/train_label/1510.tif
D:\dataset_chain\water\input0/train/1511.tif,D:\dataset_chain\water\input0/train_label/1511.tif
D:\dataset_chain\water\input0/train/1512.tif,D:\dataset_chain\water\input0/train_label/1512.tif
D:\dataset_chain\water\input0/train/1513.tif,D:\dataset_chain\water\input0/train_label/1513.tif
D:\dataset_chain\water\input0/train/1514.tif,D:\dataset_chain\water\input0/train_label/1514.tif
D:\dataset_chain\water\input0/train/1515.tif,D:\dataset_chain\water\input0/train_label/1515.tif
D:\dataset_chain\water\input0/train/1516.tif,D:\dataset_chain\water\input0/train_label/1516.tif
D:\dataset_chain\water\input0/train/1517.tif,D:\dataset_chain\water\input0/train_label/1517.tif
D:\dataset_chain\water\input0/train/1518.tif,D:\dataset_chain\water\input0/train_label/1518.tif
D:\dataset_chain\water\input0/train/1519.tif,D:\dataset_chain\water\input0/train_label/1519.tif
D:\dataset_chain\water\input0/train/1520.tif,D:\dataset_chain\water\input0/train_label/1520.tif
D:\dataset_chain\water\input0/train/1521.tif,D:\dataset_chain\water\input0/train_label/1521.tif
D:\dataset_chain\water\input0/train/1522.tif,D:\dataset_chain\water\input0/train_label/1522.tif
D:\dataset_chain\water\input0/train/1523.tif,D:\dataset_chain\water\input0/train_label/1523.tif
D:\dataset_chain\water\input0/train/1524.tif,D:\dataset_chain\water\input0/train_label/1524.tif
D:\dataset_chain\water\input0/train/1525.tif,D:\dataset_chain\water\input0/train_label/1525.tif
D:\dataset_chain\water\input0/train/1526.tif,D:\dataset_chain\water\input0/train_label/1526.tif
D:\dataset_chain\water\input0/train/1527.tif,D:\dataset_chain\water\input0/train_label/1527.tif
D:\dataset_chain\water\input0/train/1528.tif,D:\dataset_chain\water\input0/train_label/1528.tif
D:\dataset_chain\water\input0/train/1529.tif,D:\dataset_chain\water\input0/train_label/1529.tif
D:\dataset_chain\water\input0/train/1530.tif,D:\dataset_chain\water\input0/train_label/1530.tif
D:\dataset_chain\water\input0/train/1531.tif,D:\dataset_chain\water\input0/train_label/1531.tif
D:\dataset_chain\water\input0/train/1532.tif,D:\dataset_chain\water\input0/train_label/1532.tif
D:\dataset_chain\water\input0/train/1533.tif,D:\dataset_chain\water\input0/train_label/1533.tif
D:\dataset_chain\water\input0/train/1534.tif,D:\dataset_chain\water\input0/train_label/1534.tif
D:\dataset_chain\water\input0/train/1535.tif,D:\dataset_chain\water\input0/train_label/1535.tif
D:\dataset_chain\water\input0/train/1536.tif,D:\dataset_chain\water\input0/train_label/1536.tif
D:\dataset_chain\water\input0/train/1537.tif,D:\dataset_chain\water\input0/train_label/1537.tif
D:\dataset_chain\water\input0/train/1538.tif,D:\dataset_chain\water\input0/train_label/1538.tif
D:\dataset_chain\water\input0/train/1539.tif,D:\dataset_chain\water\input0/train_label/1539.tif
D:\dataset_chain\water\input0/train/1540.tif,D:\dataset_chain\water\input0/train_label/1540.tif
D:\dataset_chain\water\input0/train/1541.tif,D:\dataset_chain\water\input0/train_label/1541.tif
D:\dataset_chain\water\input0/train/1542.tif,D:\dataset_chain\water\input0/train_label/1542.tif
D:\dataset_chain\water\input0/train/1543.tif,D:\dataset_chain\water\input0/train_label/1543.tif
D:\dataset_chain\water\input0/train/1544.tif,D:\dataset_chain\water\input0/train_label/1544.tif
D:\dataset_chain\water\input0/train/1545.tif,D:\dataset_chain\water\input0/train_label/1545.tif
D:\dataset_chain\water\input0/train/1546.tif,D:\dataset_chain\water\input0/train_label/1546.tif
D:\dataset_chain\water\input0/train/1547.tif,D:\dataset_chain\water\input0/train_label/1547.tif
D:\dataset_chain\water\input0/train/1548.tif,D:\dataset_chain\water\input0/train_label/1548.tif
D:\dataset_chain\water\input0/train/1549.tif,D:\dataset_chain\water\input0/train_label/1549.tif
D:\dataset_chain\water\input0/train/1550.tif,D:\dataset_chain\water\input0/train_label/1550.tif
D:\dataset_chain\water\input0/train/1551.tif,D:\dataset_chain\water\input0/train_label/1551.tif
D:\dataset_chain\water\input0/train/1552.tif,D:\dataset_chain\water\input0/train_label/1552.tif
D:\dataset_chain\water\input0/train/1553.tif,D:\dataset_chain\water\input0/train_label/1553.tif
D:\dataset_chain\water\input0/train/1554.tif,D:\dataset_chain\water\input0/train_label/1554.tif
D:\dataset_chain\water\input0/train/1555.tif,D:\dataset_chain\water\input0/train_label/1555.tif
D:\dataset_chain\water\input0/train/1556.tif,D:\dataset_chain\water\input0/train_label/1556.tif
D:\dataset_chain\water\input0/train/1557.tif,D:\dataset_chain\water\input0/train_label/1557.tif
D:\dataset_chain\water\input0/train/1558.tif,D:\dataset_chain\water\input0/train_label/1558.tif
D:\dataset_chain\water\input0/train/1559.tif,D:\dataset_chain\water\input0/train_label/1559.tif
D:\dataset_chain\water\input0/train/1560.tif,D:\dataset_chain\water\input0/train_label/1560.tif
D:\dataset_chain\water\input0/train/1561.tif,D:\dataset_chain\water\input0/train_label/1561.tif
D:\dataset_chain\water\input0/train/1562.tif,D:\dataset_chain\water\input0/train_label/1562.tif
D:\dataset_chain\water\input0/train/1563.tif,D:\dataset_chain\water\input0/train_label/1563.tif
D:\dataset_chain\water\input0/train/1564.tif,D:\dataset_chain\water\input0/train_label/1564.tif
D:\dataset_chain\water\input0/train/1565.tif,D:\dataset_chain\water\input0/train_label/1565.tif
D:\dataset_chain\water\input0/train/1566.tif,D:\dataset_chain\water\input0/train_label/1566.tif
D:\dataset_chain\water\input0/train/1567.tif,D:\dataset_chain\water\input0/train_label/1567.tif
D:\dataset_chain\water\input0/train/1568.tif,D:\dataset_chain\water\input0/train_label/1568.tif
D:\dataset_chain\water\input0/train/1569.tif,D:\dataset_chain\water\input0/train_label/1569.tif
D:\dataset_chain\water\input0/train/1570.tif,D:\dataset_chain\water\input0/train_label/1570.tif
D:\dataset_chain\water\input0/train/1571.tif,D:\dataset_chain\water\input0/train_label/1571.tif
D:\dataset_chain\water\input0/train/1572.tif,D:\dataset_chain\water\input0/train_label/1572.tif
D:\dataset_chain\water\input0/train/1573.tif,D:\dataset_chain\water\input0/train_label/1573.tif
D:\dataset_chain\water\input0/train/1574.tif,D:\dataset_chain\water\input0/train_label/1574.tif
D:\dataset_chain\water\input0/train/1575.tif,D:\dataset_chain\water\input0/train_label/1575.tif
D:\dataset_chain\water\input0/train/1576.tif,D:\dataset_chain\water\input0/train_label/1576.tif
D:\dataset_chain\water\input0/train/1577.tif,D:\dataset_chain\water\input0/train_label/1577.tif
D:\dataset_chain\water\input0/train/1578.tif,D:\dataset_chain\water\input0/train_label/1578.tif
D:\dataset_chain\water\input0/train/1579.tif,D:\dataset_chain\water\input0/train_label/1579.tif
D:\dataset_chain\water\input0/train/1580.tif,D:\dataset_chain\water\input0/train_label/1580.tif
D:\dataset_chain\water\input0/train/1581.tif,D:\dataset_chain\water\input0/train_label/1581.tif
D:\dataset_chain\water\input0/train/1582.tif,D:\dataset_chain\water\input0/train_label/1582.tif
D:\dataset_chain\water\input0/train/1583.tif,D:\dataset_chain\water\input0/train_label/1583.tif
D:\dataset_chain\water\input0/train/1584.tif,D:\dataset_chain\water\input0/train_label/1584.tif
D:\dataset_chain\water\input0/train/1585.tif,D:\dataset_chain\water\input0/train_label/1585.tif
D:\dataset_chain\water\input0/train/1586.tif,D:\dataset_chain\water\input0/train_label/1586.tif
D:\dataset_chain\water\input0/train/1587.tif,D:\dataset_chain\water\input0/train_label/1587.tif
D:\dataset_chain\water\input0/train/1588.tif,D:\dataset_chain\water\input0/train_label/1588.tif
D:\dataset_chain\water\input0/train/1589.tif,D:\dataset_chain\water\input0/train_label/1589.tif
D:\dataset_chain\water\input0/train/1590.tif,D:\dataset_chain\water\input0/train_label/1590.tif
D:\dataset_chain\water\input0/train/1591.tif,D:\dataset_chain\water\input0/train_label/1591.tif
D:\dataset_chain\water\input0/train/1592.tif,D:\dataset_chain\water\input0/train_label/1592.tif
D:\dataset_chain\water\input0/train/1593.tif,D:\dataset_chain\water\input0/train_label/1593.tif
D:\dataset_chain\water\input0/train/1594.tif,D:\dataset_chain\water\input0/train_label/1594.tif
D:\dataset_chain\water\input0/train/1595.tif,D:\dataset_chain\water\input0/train_label/1595.tif
D:\dataset_chain\water\input0/train/1596.tif,D:\dataset_chain\water\input0/train_label/1596.tif
D:\dataset_chain\water\input0/train/1597.tif,D:\dataset_chain\water\input0/train_label/1597.tif
D:\dataset_chain\water\input0/train/1598.tif,D:\dataset_chain\water\input0/train_label/1598.tif
D:\dataset_chain\water\input0/train/1599.tif,D:\dataset_chain\water\input0/train_label/1599.tif
D:\dataset_chain\water\input0/train/1600.tif,D:\dataset_chain\water\input0/train_label/1600.tif
D:\dataset_chain\water\input0/train/1601.tif,D:\dataset_chain\water\input0/train_label/1601.tif
D:\dataset_chain\water\input0/train/1602.tif,D:\dataset_chain\water\input0/train_label/1602.tif
D:\dataset_chain\water\input0/train/1603.tif,D:\dataset_chain\water\input0/train_label/1603.tif
D:\dataset_chain\water\input0/train/1604.tif,D:\dataset_chain\water\input0/train_label/1604.tif
D:\dataset_chain\water\input0/train/1605.tif,D:\dataset_chain\water\input0/train_label/1605.tif
D:\dataset_chain\water\input0/train/1606.tif,D:\dataset_chain\water\input0/train_label/1606.tif
D:\dataset_chain\water\input0/train/1607.tif,D:\dataset_chain\water\input0/train_label/1607.tif
D:\dataset_chain\water\input0/train/1608.tif,D:\dataset_chain\water\input0/train_label/1608.tif
D:\dataset_chain\water\input0/train/1609.tif,D:\dataset_chain\water\input0/train_label/1609.tif
D:\dataset_chain\water\input0/train/1610.tif,D:\dataset_chain\water\input0/train_label/1610.tif
D:\dataset_chain\water\input0/train/1611.tif,D:\dataset_chain\water\input0/train_label/1611.tif
D:\dataset_chain\water\input0/train/1612.tif,D:\dataset_chain\water\input0/train_label/1612.tif
D:\dataset_chain\water\input0/train/1613.tif,D:\dataset_chain\water\input0/train_label/1613.tif
D:\dataset_chain\water\input0/train/1614.tif,D:\dataset_chain\water\input0/train_label/1614.tif
D:\dataset_chain\water\input0/train/1615.tif,D:\dataset_chain\water\input0/train_label/1615.tif
D:\dataset_chain\water\input0/train/1616.tif,D:\dataset_chain\water\input0/train_label/1616.tif
D:\dataset_chain\water\input0/train/1617.tif,D:\dataset_chain\water\input0/train_label/1617.tif
D:\dataset_chain\water\input0/train/1618.tif,D:\dataset_chain\water\input0/train_label/1618.tif
D:\dataset_chain\water\input0/train/1619.tif,D:\dataset_chain\water\input0/train_label/1619.tif
D:\dataset_chain\water\input0/train/1620.tif,D:\dataset_chain\water\input0/train_label/1620.tif
D:\dataset_chain\water\input0/train/1621.tif,D:\dataset_chain\water\input0/train_label/1621.tif
D:\dataset_chain\water\input0/train/1622.tif,D:\dataset_chain\water\input0/train_label/1622.tif
D:\dataset_chain\water\input0/train/1623.tif,D:\dataset_chain\water\input0/train_label/1623.tif
D:\dataset_chain\water\input0/train/1624.tif,D:\dataset_chain\water\input0/train_label/1624.tif
D:\dataset_chain\water\input0/train/1625.tif,D:\dataset_chain\water\input0/train_label/1625.tif
D:\dataset_chain\water\input0/train/1626.tif,D:\dataset_chain\water\input0/train_label/1626.tif
D:\dataset_chain\water\input0/train/1627.tif,D:\dataset_chain\water\input0/train_label/1627.tif
D:\dataset_chain\water\input0/train/1628.tif,D:\dataset_chain\water\input0/train_label/1628.tif
D:\dataset_chain\water\input0/train/1629.tif,D:\dataset_chain\water\input0/train_label/1629.tif
D:\dataset_chain\water\input0/train/1630.tif,D:\dataset_chain\water\input0/train_label/1630.tif
D:\dataset_chain\water\input0/train/1631.tif,D:\dataset_chain\water\input0/train_label/1631.tif
D:\dataset_chain\water\input0/train/1632.tif,D:\dataset_chain\water\input0/train_label/1632.tif
D:\dataset_chain\water\input0/train/1633.tif,D:\dataset_chain\water\input0/train_label/1633.tif
D:\dataset_chain\water\input0/train/1634.tif,D:\dataset_chain\water\input0/train_label/1634.tif
D:\dataset_chain\water\input0/train/1635.tif,D:\dataset_chain\water\input0/train_label/1635.tif
D:\dataset_chain\water\input0/train/1636.tif,D:\dataset_chain\water\input0/train_label/1636.tif
D:\dataset_chain\water\input0/train/1637.tif,D:\dataset_chain\water\input0/train_label/1637.tif
D:\dataset_chain\water\input0/train/1638.tif,D:\dataset_chain\water\input0/train_label/1638.tif
D:\dataset_chain\water\input0/train/1639.tif,D:\dataset_chain\water\input0/train_label/1639.tif
D:\dataset_chain\water\input0/train/1640.tif,D:\dataset_chain\water\input0/train_label/1640.tif
D:\dataset_chain\water\input0/train/1641.tif,D:\dataset_chain\water\input0/train_label/1641.tif
D:\dataset_chain\water\input0/train/1642.tif,D:\dataset_chain\water\input0/train_label/1642.tif
D:\dataset_chain\water\input0/train/1643.tif,D:\dataset_chain\water\input0/train_label/1643.tif
D:\dataset_chain\water\input0/train/1644.tif,D:\dataset_chain\water\input0/train_label/1644.tif
D:\dataset_chain\water\input0/train/1645.tif,D:\dataset_chain\water\input0/train_label/1645.tif
